#OTU ID	S1	S2	S3	S4	S5	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	H1	H2	H3	H4	H5
ZOTU_259	0	9	81	168	1	0	3	0	0	0	2	0	0	1	0	0	0	19
ZOTU_260	49	17	9	3	2	2	161	1	2	0	21	2	0	2	0	1	3	17
ZOTU_261	0	0	0	141	1	63	4	1	50	5	3	2	16	2	0	0	0	0
ZOTU_262	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_263	0	0	1	1	12	18	14	79	0	1	3	16	4	66	9	58	0	1
ZOTU_264	0	0	0	3	0	0	0	0	0	0	0	72	0	0	155	0	6	3
ZOTU_265	0	0	14	0	0	0	47	0	39	0	0	0	0	1	163	3	1	0
ZOTU_266	0	1	0	0	0	3	5	2	0	4	0	0	5	18	209	0	0	10
ZOTU_267	12	3	12	15	0	155	26	0	0	1	0	0	4	5	10	1	18	0
ZOTU_268	0	0	25	1	18	0	6	229	0	0	7	0	0	0	0	0	0	0
ZOTU_269	0	16	1	44	34	12	3	56	0	6	1	1	23	7	116	0	0	6
ZOTU_270	0	0	15	24	3	57	0	1	9	1	0	142	3	4	17	6	1	0
ZOTU_271	0	201	0	0	0	0	39	0	1	0	0	0	0	0	2	0	0	0
ZOTU_272	0	2	0	0	0	0	0	246	5	6	0	1	0	7	4	1	0	0
ZOTU_273	10	6	53	0	12	11	7	99	8	0	0	6	0	26	7	3	8	0
ZOTU_274	22	48	121	0	25	37	0	0	4	6	6	2	43	15	9	62	2	5
ZOTU_275	0	0	1	0	184	1	68	0	2	14	0	1	0	0	0	0	2	0
ZOTU_276	0	1	0	0	0	0	1	1	0	0	1	2	0	0	0	226	0	0
ZOTU_277	6	59	1	51	31	61	2	27	8	24	1	0	4	9	10	54	30	9
ZOTU_278	0	0	2	20	50	6	91	79	0	0	1	37	1	0	10	0	22	0
ZOTU_279	0	19	0	105	0	0	31	1	0	0	0	0	11	0	1	0	74	1
ZOTU_280	0	0	1	11	0	0	31	111	3	0	0	109	0	0	5	0	0	0
ZOTU_281	0	0	0	0	0	0	4	0	0	0	0	228	0	0	0	0	0	0
ZOTU_282	1	1	28	0	99	0	44	2	0	59	0	21	0	15	1	0	6	2
ZOTU_283	0	0	0	0	35	1	0	178	0	0	5	0	0	0	15	39	0	4
ZOTU_284	15	0	16	0	38	165	2	0	0	9	0	17	2	0	0	12	8	1
ZOTU_286	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0
ZOTU_287	0	0	0	1	0	0	0	0	0	0	0	231	0	1	0	0	0	0
ZOTU_288	0	0	0	0	0	1	0	0	4	0	0	0	2	0	0	85	137	0
ZOTU_289	0	0	0	2	0	0	0	228	0	0	0	0	0	0	0	0	0	0
